,0
0,1.0
1,0.8518518518518519
2,0.78125
3,0.9545454545454546
4,0.7857142857142857
5,0.8620689655172413
6,0.9666666666666667
7,0.8275862068965517
8,0.8928571428571429
9,1.0
10,1.0
11,1.0
12,0.8571428571428571
13,0.8421052631578947
14,0.9523809523809523
15,0.9655172413793104
16,1.0
17,0.92
18,0.8947368421052632
19,0.9166666666666666
20,0.9166666666666666
21,0.9629629629629629
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,0.9523809523809523
28,1.0
29,0.96
30,0.9230769230769231
31,1.0
32,0.92
33,0.85
34,0.9310344827586207
35,0.7777777777777778
36,1.0
37,0.7777777777777778
38,0.9354838709677419
39,0.782608695652174
40,0.8620689655172413
41,0.96875
42,0.8888888888888888
43,0.9696969696969697
44,0.8636363636363636
45,1.0
46,0.8285714285714286
47,0.92
48,1.0
49,0.9259259259259259
50,0.8076923076923077
51,0.8333333333333334
52,0.8333333333333334
53,0.9642857142857143
54,0.75
55,1.0
56,1.0
57,1.0
58,1.0
59,1.0
60,0.9428571428571428
61,0.9032258064516129
62,0.9696969696969697
63,1.0
64,0.96875
65,1.0
66,1.0
67,0.8333333333333334
68,0.96
69,0.8181818181818182
70,1.0
71,0.8333333333333334
72,1.0
73,0.9
74,0.8571428571428571
75,0.9583333333333334
76,0.9
77,0.8571428571428571
78,0.8484848484848485
79,0.8461538461538461
80,0.8709677419354839
81,0.8695652173913043
82,0.9545454545454546
83,0.8333333333333334
84,0.9642857142857143
85,0.875
86,0.9473684210526315
87,0.9545454545454546
88,0.896551724137931
89,0.9615384615384616
90,0.8636363636363636
91,0.9166666666666666
92,1.0
93,0.9565217391304348
94,1.0
95,0.9545454545454546
96,0.8461538461538461
97,0.9130434782608695
98,0.8666666666666667
99,0.9090909090909091
100,1.0
